position,name,points,salary
C,Nikola Vucevic,34.4,8400
C,DeMarcus Cousins,45.6,9100
PF,Andrea Bargnani,22.3,5500
PF,Josh McRoberts,19.7,4700
PF,Kevin Love,47.1,11700
PG,Ricky Rubio,34.5,7800
PG,Goran Dragic,31.6,6600
PG,Kyrie Irving,42.3,9100
SF,Andre Iguodala,33.2,7800
SF,Terrence Jones,37.8,4400
SF,LeBron James,49.1,11500
SG,Gordon Hayward,28.3,7900
SG,Klay Thompson,27.8,6700
SG,Monta Ellis,39.5,8100
PF,Jared Sullinger,13.7,5400
